karmn,Name,adopted_vsini_kms-1,adopted_err_kms-1,vsini_oc_kms-1,err_oc_kms-1,vsini_ni_kms-1,err_ni_kms-1,vsini_literature_kms-1,err_literature_kms-1,ref_literature,equatorial_velocity_kms-1,err_eq_velocity_kms-1
J17355+616,BD+61 1678,< 2,-,2,-,2,-,0.9,0.09,Rein18,1.51,0.01
J17364+683,BD+68 946,< 2,-,2,-,2,-,0.2,0.02,Bro10,-,-
J17378+185,BD+18 3421,< 2,-,2,-,2,-,0.2,0.02,Rein18,0.62,0.01
J17481+159,2MASS J17481125+1558465,< 2,-,2,-,2,-,-,-,,-,-
J17542+073,GJ 1222,< 2,-,2,-,2,-,0.2,0.02,Rein18,-,-
J17578+046,Barnard's Star,< 2,-,2,-,2,-,0.4,0.04,Rein18,0.07,0
J17578+465,G 204-039,< 2,-,2,-,2,-,0.2,0.02,Rein18,0.66,0.01
J18012+355,G 182-034,< 2,-,2,-,2,-,-,-,,-,-
J18022+642,LP 071-082,11.9795003095185,0.570749769831629,11.9795003095185,0.570749769831629,11.9907600530516,0.570756366362097,12.9,1.5,Rein18,32.2,0.89
J18027+375,GJ 1223,< 2,-,2,-,2,-,0.2,0.02,Rein18,0.07,0
J18051-030,HD 165222,< 2,-,2,-,2,-,0.2,0.02,Rein18,0.17,0
J18075-159,GJ 1224,< 2,-,2,-,2,-,1.6,1.5,Rein18,2.27,0.03
J18131+260,LP 390-16,6.98211456805281,0.661692891631168,6.98211456805281,0.661692891631168,7.02272925188051,0.657238332038303,6.3,1.5,Rein18,7.51,0.29
J18165+048,G 140-51,< 2,-,2,-,2,-,0.2,0.02,Rein18,-,-
J18174+483,TYC 3529-1437-1,2.18862585540045,0.283763827239582,2.18862585540045,0.283763827239582,2.18029648149816,0.28545945110903,2.2,0.22,Rein18,1.66,0.36
J18180+387E,G 204-58,< 2,-,2,-,2,-,0.3,0.03,Rein18,-,-
J18189+661,LP 71-165,15.2185357571532,0.556536792833657,15.2185357571532,0.556536792833657,15.220121760081,0.556229916977337,14.5,1.5,Rein18,15.66,0.45
J18221+063,Ross 136,< 2,-,2,-,2,-,0.3,0.03,Rein18,-,-
J18224+620,GJ 1227,< 2,-,2,-,5.05103609899563,0.166077576019196,0.2,0.02,Rein18,-,-
J18319+406,G 205-028,< 2,-,2,-,2,-,0.2,0.02,Rein18,0.35,0.01
J18346+401,LP 229-017,< 2,-,2,-,2,-,0.2,0.02,Rein18,0.52,0.01
J18353+457,BD+45 2743,< 2,-,2,-,2,-,0.2,0.02,Rein18,0.88,0.01
J18356+329,LSR J1835+3259,43.6641787558013,3.5499254488737,43.6641787558013,3.5499254488737,43.5622424796519,3.89474442901225,49.2,4.9,Rein18,42.6,4.26
J18363+136,Ross 149,< 2,-,2,-,2,-,1.4,0.14,Rein18,0.31,0.01
J18409-133,BD-13 5069,< 2,-,2,-,2,-,1.1,0.11,Rein18,0.94,0.01
J18419+318,Ross 145,< 2,-,2,-,2,-,0.2,0.02,Rein18,-,-
J18427+596N,HD 173739,< 2,-,2,-,2,-,1,0.1,Bro10,0.17,0
J18427+596S,HD 173740,< 2,-,2,-,2,-,1.4,0.14,Bro10,0.1,0
J18480-145,G 155-042,< 2,-,2,-,2,-,0.2,0.02,Rein18,-,-
J18482+076,G 141-036,3.08336645861537,0.137212699340054,3.08336645861537,0.137212699340054,3.08277135512284,0.137963461762588,3.6,1.5,Rein18,2.85,0.07
J18498-238,V1216 Sgr,4.10558226544339,0.495159911768131,4.10558226544339,0.495159911768131,4.1290182549183,0.505901334435371,4.4,1.5,Rein18,3.34,0.06
J18580+059,BD+05 3993,< 2,-,2,-,2,-,0.5,0.05,Rein18,0.83,0.01
J19025+754,LSPM J1902+7525,3.57307882169928,0.661987860096176,3.57307882169928,0.661987860096176,3.56470373666923,0.67172321972635,-,-,,-,-
J19070+208,Ross 730,< 2,-,2,-,2,-,0.2,0.02,Rein18,-,-
J19072+208,HD 349726,< 2,-,2,-,2,-,0.2,0.02,Rein18,4.17,0.05
J19084+322,G 207-019,< 2,-,2,-,2,-,0.2,0.02,Rein18,0.23,0
J19098+176,GJ 1232,< 2,-,2,-,3.62482971009939,0.162787746278697,0.2,0.02,Rein18,0.13,0
J19169+051N,V1428 Aql,< 2,-,2,-,2,-,0.2,0.02,Rein18,0.52,0.01
J19169+051S,V1298 Aql,< 2,-,3.63369016385006,0.772977591841704,3.62423231872308,0.778154931410943,3.7,2.7,Rein18,0.23,0.02
J19206+731S,2MASS J19204172+7311434,< 2,-,2,-,2,-,-,-,-,-,-
J19216+208,GJ 1235,< 2,-,2,-,2,-,0.2,0.02,Rein18,0.08,0
J19242+755,GJ 1238,< 2,-,2,-,2,-,-,-,,0.06,0
J19251+283,Ross 164,< 2,-,2,-,2,-,0.2,0.02,Rein18,-,-
J19255+096,LSPM J1925+0938,30.8831925363678,2.57714651365447,36.5657662487244,4.15117813979445,30.8831925363678,2.57714651365447,34.7,3.5,Rein18,-,-
J19346+045,BD+04 4157,3.5888,0.4973,3.56978266384912,0.496036248582097,3.52518971870557,0.470572100924086,0.2,1.5,Rein18,1.28,0.02
J19422-207,2MASS J19421282-2045477,8.12364508455467,0.698361947095759,8.12364508455467,0.698361947095759,8.17673880063737,0.701675463759923,6.7,1.5,Rein18,8.34,0.28
J19511+464,G 208-042,23.1524393951049,0.595488902336559,23.1524393951049,0.595488902336559,23.1692882312142,0.602516776522141,24.6,0.9,Fou18,23.8,0.59
J19573-125,HD 188807 B,3.35662957301299,0.752704778688172,3.35662957301299,0.752704778688172,2,-,-,-,,-,-
J20093-012,2MASS J20091824-0113377,5.35512482730087,0.438193551445607,5.35512482730087,0.438193551445607,5.36947800362278,0.437403984207577,5.5,1.5,Rein18,5.9,0.32
J20198+229,LP  395-8 A,11.8,1.18,69.7752166354199,6.04076451442864,70.1156438585681,8.6294118802361,11.8,1.18,Jeff18,-,-
J20260+585,Wolf 1069,< 2,-,2,-,2.67088506090501,0.025368230052352,0.2,0.02,Rein18,0.15,0
J20305+654,GJ 793,< 2,-,2,-,2,-,2.7,0.27,Rein18,0.58,0.01
J20336+617,GJ 1254,< 2,-,2,-,2,-,0.3,0.03,Rein18,1.52,0.03
J20405+154,GJ 1256,< 2,-,2,-,2,-,0.2,0.02,Rein18,0.1,0
J20450+444,BD+44 3567,< 2,-,2,-,2,-,0.2,0.02,Rein18,0.54,0
J20451-313,AU Mic,8.39859509191445,0.383504583917495,8.39859509191445,0.383504583917495,8.40534630272489,0.384207607254236,8.2,1.2,Tor06,8.93,0.21
J20525-169,LP 816-060,< 2,-,2,-,2,-,0.2,0.02,Rein18,0.17,0
J20533+621,HD 199305,< 2,-,2,-,2,-,0.2,0.02,Rein18,-,-
J20556-140N,GJ 810 A,3.97648361767945,0.837833196306116,3.97648361767945,0.837833196306116,4.0885929331099,0.838100552824186,3,1,Karmn,-,-
J20556-140S,GJ 810 B,< 2,-,2,-,2,-,0.2,0.02,Marf21,0.06,0
J20567-104,Wolf 896,< 2,-,2,-,2,-,0.2,0.02,Rein18,2.42,0.04
J21019-063,Wolf 906,< 2,-,2,-,2,-,0.2,0.02,Rein18,0.46,0.01
J21152+257,LP 397-041,< 2,-,2,-,2,-,1.7,0.17,Rein18,0.79,0.01
J21164+025,LSPM J2116+0234,< 2,-,2,-,2,-,0.2,0.02,Rein18,0.48,0.01
J21221+229,TYC 2187-512-1,< 2,-,2,-,2,-,0.2,0.02,Rein18,0.64,0.01
J21348+515,Wolf 926,< 2,-,2,-,2,-,0.2,0.02,Rein18,0.41,0.01
J21463+382,LSPM J2146+3813,< 2,-,2,-,2,-,0.2,0.02,Rein18,0.12,0
J21466+668,G 264-012,< 2,-,2,-,2,-,0.3,0.03,Rein18,0.15,0
J21466-001,Wolf 940,< 2,-,2,-,2,-,0.2,0.02,Rein18,-,-
J21474+627,TYC 4266-736-1,< 2,-,2,-,2,-,0.2,0.02,,-,-
J22012+283,V374 Peg,36.1923741715621,1.13541666769698,36.1923741715621,1.13541666769698,36.0976742830521,1.13178707841339,36.4,0.7,Fou18,36.48,0.68
J22020-194,LP 819-017,< 2,-,2,-,2,-,0.2,0.02,Rein18,-,-
J22021+014,BD+00 4810,< 2,-,2,-,2,-,1.1,0.11,Rein18,1.29,0.01
J22057+656,G 264-18 A,< 2,-,2,-,2,-,0.2,0.02,Rein18,0.2,0
J22096-046,BD-05 5715,< 2,-,2,-,2,-,0.5,0.05,Rein18,0.59,0.01
J22102+587,UCAC4 744-073158,< 2,-,2,-,2,-,-,-,,-,-
J22114+409,1RXS J221124.3+410000,< 2,-,2,-,2,-,2,0.2,Rein18,0.3,0.01
J22115+184,Ross 271,< 2,-,2,-,2,-,1.2,0.12,Rein18,0.7,0.01
J22125+085,Wolf 1014,< 2,-,2,-,2,-,0.2,0.02,Rein18,-,-
J22137-176,LP 819-052,< 2,-,2,-,2,-,0.2,0.02,Rein18,0.08,0
J22231-176,LP 820-012,< 2,-,2,-,2,-,2.3,0.23,Rein18,2.11,0.03
J22252+594,G 232-070,< 2,-,2,-,2,-,0.2,0.02,Rein18,0.31,0.01
J22298+414,G 215-050,< 2,-,2,-,2,-,0.2,0.02,Rein18,0.13,0
J22330+093,BD+08 4887,< 2,-,2,-,2,-,0.2,0.02,Rein18,0.6,0.01
J22468+443,EV Lac,4.57949573566456,0.7422498174132,4.57949573566456,0.7422498174132,4.57759407150244,0.747643847178562,4.1,1.5,Rein18,3.97,0.07
J22503-070,BD-07 5871,< 2,-,2,-,2,-,0.2,0.02,Rein18,-,-
J22518+317,GT Peg,14.073498550964,0.401258061004699,14.073498550964,0.401258061004699,14.0994420334882,0.398440923375292,12.7,0.9,Fou18,16.7,1.07
J22526+750,NLTT 55174,< 2,-,2,-,2,-,2,0.2,Fou18,0.14,0
J22532-142,IL Aqr,< 2,-,2,-,2,-,0.2,0.02,Rein18,0.2,0
J22559+178,StKM 1-2065,< 2,-,2,-,2,-,0.9,0.09,Rein18,1.02,0.01
J22565+165,HD 216899,< 2,-,2,-,2,-,1.3,0.13,Rein18,0.67,0.01
J23064-050,2MUCD 12171,< 2,-,2,-,2,-,2,0.2,Rein18,1.72,0.17
J23113+085,NLTT 56083,< 2,-,2,-,2,-,0.2,0.02,Rein18,0.48,0.03
J23216+172,LP 462-027,< 2,-,2,-,2,-,0.2,0.02,Rein18,0.25,0.01
J23245+578,BD+57 2735,< 2,-,2,-,2,-,1,0.1,Rein18,0.74,0.01
J23340+001,Wolf 1039,< 2,-,2,-,2,-,0.2,0.02,Rein18,-,-
J23351-023,GJ 1286,< 2,-,2,-,2,-,0.2,0.02,Rein18,0.04,0
J23381-162,G 273-093,< 2,-,2,-,2,-,0.2,0.02,Rein18,0.3,0
J23419+441,HH And,< 2,-,2,-,2,-,0.2,0.02,Rein18,0.08,0
J23431+365,GJ 1289,< 2,-,2,-,2,-,1.4,0.14,Rein18,0.16,0
J23492+024,BR Psc,< 2,-,2,-,2,-,0.2,0.02,Rein18,0.42,0.01
J23505-095,LP 763-012,< 2,-,2,-,2,-,0.2,0.02,Rein18,-,-
J23548+385,RX J2354.8+3831,3.6,1.5,5.07465529594318,0.899233142512227,5.12194970335812,0.904449926865867,3.6,1.5,Rein18,3.37,0.03
J23556-061,GJ 912,< 2,-,2,-,2,-,2,0.2,Rein18,-,-
J23585+076,Wolf 1051,< 2,-,41.775060102032,2.31513659213144,42.2175970328597,2.37936100088011,2,0.2,Rein18,0.43,0.01
