karmn,Name,adopted_vsini_kms-1,adopted_err_kms-1,vsini_oc_kms-1,err_oc_kms-1,vsini_ni_kms-1,err_ni_kms-1,vsini_literature_kms-1,err_literature_kms-1,ref_literature,equatorial_velocity_kms-1,err_eq_velocity_kms-1
J07033+346,LP 255-011,< 2,-,2.51466663472737,0.26839781971227,2.50171415397659,0.27116088687181,2.4,0.24,Rein18,1.66,0.03
J07044+682,GJ 258,< 2,-,2,-,2,-,0.2,0.02,Rein18,-,-
J07051-101,2MASS J07051194-1007528,17.7456138097304,0.522003932347227,17.7456138097304,0.522003932347227,17.7604725646606,0.525187810063573,-,-,,18.34,0.6
J07274+052,Luyten's Star,< 2,-,2,-,2,-,0.2,0.02,Rein18,0.16,0
J07287-032,GJ 1097,< 2,-,2,-,2,-,0.2,0.02,Rein18,0.16,0
J07319+362N,V* BL Lyn,< 2,-,2,-,2,-,1.7,0.17,Rein18,1.23,0.01
J07353+548,GJ 3452,< 2,-,2,-,2,-,0.2,0.02,Rein18,0.84,0.01
J07361-031,BD-02 2198,2.34,0.02,3.14940392636181,0.259303842042941,3.15778754818003,0.259964123840644,3.1,1.5,Rein18,2.34,0.02
J07386-212,LP 763-001,< 2,-,2,-,2,-,0.2,0.02,Rein18,-,-
J07393+021,BD+02 1729,< 2,-,2,-,2,-,1.7,0.17,Rein18,2.58,0.02
J07403-174,LP 783-002,< 2,-,2,-,2,-,0.2,0.02,Rein18,-,-
J07446+035,YZ CMi,5.05965668936965,0.581893528115409,5.05965668936965,0.581893528115409,5.09053884724395,0.588858191821902,4.6,1.5,Rein18,6.23,1.56
J07472+503,2MASS J07471385+5020386,11.2744476525241,0.421336937685384,11.2744476525241,0.421336937685384,11.2839974293192,0.425609161342543,10.3,1.5,Rein18,10.75,0.39
J07558+833,GJ 1101,12.9219247720438,0.356055755553572,12.9219247720438,0.356055755553572,12.9427604016236,0.36176134380081,11.8,1.5,Rein18,12.43,0.42
J07582+413,GJ 1105,< 2,-,2,-,2,-,0.2,0.02,Rein18,-,-
J07590+153,LP 424-004,< 2,-,2,-,2,-,-,-,,1.17,0.04
J08023+033,G 50-16 A,< 2,-,2,-,2,-,0.2,0.02,,-,-
J08119+087,Ross 619,< 2,-,2,-,2,-,0.4,0.04,Rein18,1.51,0.02
J08126-215,GJ 300,< 2,-,2,-,2,-,0.2,0.02,Rein18,-,-
J08161+013,GJ 2066,< 2,-,2,-,2,-,0.2,0.02,Rein18,0.54,0.01
J08293+039,2MASS J08292191+0355092,< 2,-,2,-,2,-,0.8,0.08,Rein18,-,-
J08298+267,DX Cnc,10.9578223648015,0.264286184997428,10.9578223648015,0.264286184997428,10.9861796709485,0.255323504939569,11.5,1.5,Rein18,13.66,1.37
J08315+730,LP 035-219,< 2,-,2,-,2,-,0.2,0.02,Rein18,0.14,0
J08358+680,G 234-037,< 2,-,2,-,2,-,1.1,0.11,Rein18,-,-
J08402+314,LSPM J0840+3127,< 2,-,2,-,2,-,0.2,0.02,Rein18,0.12,0
J08409-234,LP 844-008,< 2,-,2,-,2,-,0.2,0.02,Bro10,0.36,0.01
